Country,date,total_cases_per_million,total_deaths_per_million,GDP_per_capita,GDP_Status,median_age,prop_death
Kuwait,2022-04-25,147909.548,598.517,65530.537,High,33.7,0.0023369546055264346
Kyrgyzstan,2022-04-25,12499.583,154.435,3393.474,Lowest,26.3,6.030030634125261e-4
Laos,2022-04-25,27262.186,89.116,6397.36,Lowest,24.4,3.4796011913795885e-4
Latvia,2022-04-25,441634.687,3436.083,25063.846,Average,43.9,0.013416444297858017
Lebanon,2022-04-25,199703.301,1889.888,13367.565,Low,31.1,0.007379209722579545
Lesotho,2022-04-25,14360.581,302.278,2851.153,Lowest,22.2,0.0011802671674310328
Liberia,2022-04-25,1401.93,55.444,752.788,Lowest,19.2,2.1648526466049858e-4
Libya,2022-04-25,73675.669,943.875,17881.509,Low,29,0.0036854308704535764
Liechtenstein,2022-04-25,433972.812,2083.598,NA,NA,NA,0.008135564975039417
Lithuania,2022-04-25,416646.122,3298.112,29524.265,Average,43.5,0.012877726159728126
Luxembourg,2022-04-25,397683.141,1287.83,94277.965,High,39.7,0.005028429016444157
Macao,2022-04-25,NA,NA,104861.851,High,39.2,NA
Madagascar,2022-04-25,2166.44,46.975,1416.44,Lowest,19.6,1.8341741770844312e-4
Malawi,2022-04-25,4202.189,129.035,1095.042,Lowest,18.1,5.038268545824152e-4
Malaysia,2022-04-25,130562.932,1045.989,26808.164,Average,29.9,0.004084142657401526
Maldives,2022-04-25,342116.617,568.922,15183.616,Low,30.6,0.002221398703938752
Mali,2022-04-25,1359.987,32.354,2014.306,Lowest,16.4,1.2632862442871673e-4
Malta,2022-04-25,170094.113,1329.476,36513.323,High,42.4,0.005191038953174031
Marshall Islands,2022-04-25,360.638,NA,3819.202,Lowest,NA,NA
Martinique,2022-04-25,408359.455,2497.878,NA,NA,45.7,0.00975315236850943
Mauritania,2022-04-25,12390.454,207.342,3597.633,Lowest,20.3,8.09582420915466e-4
Mauritius,2022-04-25,170542.325,761.844,20292.745,Average,37.4,0.0029746771511798007
Mayotte,2022-04-25,113574.129,573.421,NA,NA,20.1,0.0022389653875421645
Mexico,2022-04-25,45273.525,2556.098,17336.469,Low,29.3,0.009980476733788527
Moldova,2022-04-25,157955.119,3510.243,5189.972,Lowest,37.6,0.013706007591040733
Monaco,2022-04-25,331588.611,1562.029,NA,NA,NA,0.006099059618216108
Mongolia,2022-04-25,270846.078,620.297,11840.846,Low,28.6,0.002421996252310679
Montenegro,2022-04-25,329251.996,4061.67,16409.288,Low,39.1,0.015859095752716382
Montserrat,2022-04-25,40108.77,453.206,NA,NA,NA,0.0017695768857897323
Morocco,2022-04-25,31092.71,428.881,7485.013,Lowest,29.6,0.0016745980952467224
Mozambique,2022-04-25,6835.344,66.759,1136.103,Lowest,17.7,2.6066553249170734e-4
Myanmar,2022-04-25,11309.649,358.698,5591.597,Lowest,29.1,0.0014005632974387042
Namibia,2022-04-25,61689.334,1567.964,9541.808,Lowest,22,0.006122233271736057
Nauru,2022-04-25,236.388,NA,12895.635,Low,NA,NA
Nepal,2022-04-25,32039.946,391.226,2442.804,Lowest,25,0.0015275713179436587
Netherlands,2022-04-25,457839.891,1266.111,48472.545,High,43.2,0.004943625548744111
New Caledonia,2022-04-25,208846.768,1076.014,NA,NA,33.4,0.004201377526304049
New Zealand,2022-04-25,171097.889,124.198,36085.843,High,37.9,4.849404245780355e-4
Nicaragua,2022-04-25,2068.247,33.533,5321.444,Lowest,27.3,1.3093211853150023e-4
Niger,2022-04-25,340.125,11.79,926,Lowest,15.1,4.603494102783489e-5
Nigeria,2022-04-25,1169.962,14.382,5338.454,Lowest,18.1,5.6155599818687144e-5
Niue,2022-04-25,4098.361,NA,NA,NA,NA,NA
North Korea,2022-04-25,NA,NA,NA,NA,35.3,NA
North Macedonia,2022-04-25,147643.348,4599.242,13111.214,Low,39.1,0.017958086025677816
Northern Cyprus,2022-04-25,NA,NA,NA,NA,NA,NA
Northern Ireland,2022-04-25,NA,NA,NA,NA,NA,NA
Northern Mariana Islands,2022-04-25,226348.489,685.843,NA,NA,NA,0.0026779255351444754
Norway,2022-04-25,262153.306,540.27,64800.057,High,39.7,0.002109524816718266
Oman,2022-04-25,85011.035,1010.423,37960.709,High,30.7,0.0039452725375884665
Pakistan,2022-04-25,6478.329,128.778,5034.708,Lowest,23.5,5.028233787686617e-4
Palau,2022-04-25,243087.812,331.785,13240.405,Low,NA,0.0012954794664054455
Palestine,2022-04-25,125152.474,1077.508,4449.898,Lowest,20.4,0.004207210961579332
Panama,2022-04-25,174887.299,1855.926,22267.037,Average,29.7,0.007246602541308355
Papua New Guinea,2022-04-25,4318.409,63.987,3823.194,Lowest,22.6,2.498420501737126e-4
Paraguay,2022-04-25,95717.211,2771.819,8827.01,Lowest,26.5,0.010822775589892477
Peru,2022-04-25,104534.099,6247.476,12236.706,Low,29.1,0.024393739544767926
Philippines,2022-04-25,31880.942,520.79,7599.188,Lowest,25.2,0.002033463692780843
Pitcairn,2022-04-25,NA,NA,NA,NA,NA,NA
Poland,2022-04-25,150304.748,2909.064,27216.445,Average,41.8,0.011358659006462891
Portugal,2022-04-25,385587.493,2163.792,27936.896,Average,46.2,0.008448688474682012
Puerto Rico,2022-04-25,167786.553,1293.194,35044.67,High,38.2,0.005049373157553004
Qatar,2022-04-25,135091.393,251.194,116935.6,High,31.9,9.808058504279862e-4
Romania,2022-04-25,146893.755,3327.743,23313.199,Average,43,0.012993422626021236
Russia,2022-04-25,125331.504,2590.653,24765.954,Average,39.6,0.010115399328124134
Rwanda,2022-04-25,9420.615,105.903,1854.211,Lowest,20.3,4.135062221943002e-4
Saint Barthelemy,2022-04-25,404129.525,363.835,NA,NA,NA,0.0014206210999883214
Saint Helena,2022-04-25,NA,NA,NA,NA,NA,NA
Saint Kitts and Nevis,2022-04-25,116650.238,901.827,24654.385,Average,NA,0.003521251294513084
Saint Lucia,2022-04-25,129119.596,2045.899,12951.839,Low,34.9,0.007988366396429719
Saint Pierre and Miquelon,2022-04-25,448768.054,169.924,NA,NA,NA,6.634810279231398e-4
Saint Vincent and the Grenadines,2022-04-25,80772.228,1019.633,10727.146,Low,31.8,0.003981233674727259
Samoa,2022-04-25,33598.633,58.456,6021.557,Lowest,22,2.2824584501468336e-4
San Marino,2022-04-25,483110.715,3383.793,56861.47,High,NA,0.013212274063223116
Sao Tome and Principe,2022-04-25,26179.346,321.03,3052.714,Lowest,18.7,0.0012534857606586799
Saudi Arabia,2022-04-25,20690.918,249.28,49045.411,High,31.9,9.733324935893709e-4
Scotland,2022-04-25,NA,NA,NA,NA,NA,NA
Senegal,2022-04-25,4965.451,113.534,2470.58,Lowest,18.7,4.4330203516999215e-4
Serbia,2022-04-25,291221.758,2321.602,14048.881,Low,41.2,0.00906486947922846
Seychelles,2022-04-25,394604.938,1521.445,26382.287,Average,36.2,0.005940596340296375
Sierra Leone,2022-04-25,892.081,14.525,1390.3,Lowest,19.1,5.671395406525037e-5
Singapore,2022-04-25,209714.988,235.053,85535.383,High,42.4,9.177821029190564e-4
Slovakia,2022-04-25,314489.617,3515.4,30155.152,Average,41.2,0.013726143485093368
Slovenia,2022-04-25,474069.542,3612.06,31400.84,Average,44.5,0.014103559719168898
Solomon Islands,2022-04-25,19581.041,193.298,2205.923,Lowest,20.8,7.547465674977464e-4
Somalia,2022-04-25,1505.043,77.34,NA,NA,16.8,3.0197984216223504e-4
South Africa,2022-04-25,62772.503,1674.595,12294.876,Low,27.3,0.006538582024640134
South Korea,2022-04-25,326724.694,429.271,35938.374,High,43.4,0.0016761208795555314
South Sudan,2022-04-25,1597.886,12.645,1569.888,Lowest,19.2,4.9373352781761855e-5
Spain,2022-04-25,250237.959,2220.354,34272.36,Average,45.5,0.008669539054361096
Sri Lanka,2022-04-25,30375.387,755.858,11669.077,Low,34.1,0.002951304364327161
Sudan,2022-04-25,1325.143,105.196,4466.507,Lowest,19.7,4.107456875626904e-4
Suriname,2022-04-25,128310.838,2147.089,13767.119,Low,29.6,0.008383470355938337
Sweden,2022-04-25,237022.398,1782.574,46949.283,High,41,0.006960194144847478
Switzerland,2022-04-25,411729.414,1513.191,57410.166,High,43.1,0.00590836797700174
Syria,2022-04-25,2521.78,142.371,NA,NA,21.7,5.558982687933743e-4
Taiwan,2022-04-25,NA,NA,NA,NA,42.2,NA
Tajikistan,2022-04-25,1787.037,12.559,2896.913,Lowest,23.3,4.903755931879376e-5
Tanzania,2022-04-25,517.148,12.26,2683.304,Lowest,17.7,4.787009134870703e-5
Thailand,2022-04-25,58103.862,387.394,16277.671,Low,40.1,0.0015126089859658245
Timor,2022-04-25,17043.192,96.921,6570.102,Lowest,18,3.7843532818988856e-4
Togo,2022-04-25,4178.806,30.852,1429.813,Lowest,19.4,1.204639525522275e-4
Tokelau,2022-04-25,NA,NA,NA,NA,NA,NA
Tonga,2022-04-25,89391.487,102.932,5425.621,Lowest,22.3,4.0190572942129787e-4
Trinidad and Tobago,2022-04-25,93977.765,2489.153,28763.071,Average,36.2,0.009719084950318771
Tunisia,2022-04-25,84130.968,2309.221,10849.297,Low,32.7,0.009016526934286508
Turkey,2022-04-25,175955.594,1156.592,25129.341,Average,31.6,0.0045160003828045485
Turkmenistan,2022-04-25,NA,NA,16389.023,Low,26.9,NA
Turks and Caicos Islands,2022-04-25,129926.081,787.298,NA,NA,NA,0.003074064207068054
Tuvalu,2022-04-25,NA,NA,3575.104,Lowest,NA,NA
Uganda,2022-04-25,3472.073,76.128,1697.707,Lowest,16.4,2.972474970794754e-4
Ukraine,2022-04-25,124836.884,2663.989,7894.393,Lowest,41.4,0.010401745251382601
United Arab Emirates,2022-04-25,94998.294,243.827,67293.483,High,34,9.520408452921034e-4
United Kingdom,2022-04-25,325403.366,2907.956,39753.244,High,40.8,0.011354332737195815
United States of America,2022-04-25,237215.195,2917.282,54225.446,High,38.3,0.0113907468050521
Uruguay,2022-04-25,262319.753,2104.42,20551.409,Average,35.6,0.008216866038829203
Uzbekistan,2022-04-25,4531.206,29.341,6253.104,Lowest,28.2,1.1456413949938115e-4
Vanuatu,2022-04-25,21001.151,36.726,2921.909,Lowest,23.1,1.4339942698797831e-4
Vatican,2022-04-25,32178.218,NA,NA,NA,NA,NA
Venezuela,2022-04-25,18447.231,201.578,16745.022,Low,29,7.870764497463022e-4
Vietnam,2022-04-25,107585.704,438.073,6171.884,Lowest,32.6,0.0017104889500328003
Wales,2022-04-25,NA,NA,NA,NA,NA,NA
Wallis and Futuna,2022-04-25,39151.432,603.656,NA,NA,NA,0.002357020217226353
Yemen,2022-04-25,350.718,63.745,1479.147,Lowest,20.3,2.48897142987221e-4
Zambia,2022-04-25,15935.121,198.525,3689.251,Lowest,17.7,7.751557818109349e-4
Zimbabwe,2022-04-25,15166.411,335.038,1899.775,Lowest,19.6,0.0013081810493709711
